# Universo Garimpo Alpha B3 = carteira IBrX-100 (IBXX) de 06/07/2026
# tickers: carteira B3 | cnpj + setor_economico: cadastro CVM (SETOR_ATIV)
# setor (operacional/financeiro) = chave metodologica: financeiro nao recebe EV/EBITDA nem DCF
# B3SA3=operacional (tem EBITDA), BRAP4=financeiro (holding), por decisao do analista
# free_float = Qtde. Teorica da carteira B3 (ancora de escala do nº de acoes)
ticker,cnpj,setor,setor_economico,free_float
ABEV3,07.526.557/0001-00,operacional,Consumo nao Ciclico,4273841357
ALOS3,05.878.397/0001-32,operacional,Consumo Ciclico,478558715
ANIM3,09.288.252/0001-32,operacional,Consumo Ciclico,256720485
ASAI3,06.057.223/0001-71,operacional,Consumo nao Ciclico,1338623499
AUAU3,18.328.118/0001-09,operacional,Consumo Ciclico,205617553
AURE3,00.194.724/0001-13,operacional,Utilidade Publica,317799925
AXIA3,00.001.180/0001-26,operacional,Utilidade Publica,2156759550
AZZA3,16.590.234/0001-76,operacional,Consumo Ciclico,109571260
B3SA3,09.346.601/0001-25,operacional,Financeiro,4997059816
BBAS3,00.000.000/0001-91,financeiro,Financeiro,2842496541
BBDC3,60.746.948/0001-12,financeiro,Financeiro,1464429403
BBDC4,60.746.948/0001-12,financeiro,Financeiro,5100889966
BBSE3,17.344.597/0001-94,financeiro,Financeiro,616248544
BEEF3,67.620.377/0001-14,operacional,Consumo nao Ciclico,454804863
BPAC11,30.306.294/0001-45,financeiro,Financeiro,1194624560
BRAP4,03.847.461/0001-92,financeiro,Materiais Basicos,250914708
BRAV3,12.091.809/0001-55,operacional,Petroleo e Gas,462883017
BRKM5,42.150.391/0001-70,operacional,Materiais Basicos,265709734
CBAV3,61.409.892/0001-73,operacional,Materiais Basicos,204441277
CEAB3,45.242.914/0001-05,operacional,Consumo Ciclico,204964309
CMIG4,17.155.730/0001-64,operacional,Utilidade Publica,1904057894
CMIN3,08.902.291/0001-15,operacional,Materiais Basicos,1646519336
COGN3,02.800.026/0001-40,operacional,Consumo Ciclico,1915914094
